"study","patient","time_point","hamming_distance","overlap_length","hamming_distance_per_overlap"
"Baang","1",15,0,3704,0
"Baang","1",22,1,3704,0.000269978401727862
"Baang","1",26,0,3522,0
"Baang","1",31,0,3525,0
"Baang","1",5,0,3411,0
"Baang","1",86,1,3704,0.000269978401727862
"Baang","1",99,1,3724,0.000268528464017186
"Caccuri","1",116,3,3802,0.000789058390320884
"Caccuri","1",125,3,3802,0.000789058390320884
"Caccuri","1",146,3,3802,0.000789058390320884
"Caccuri","1",158,3,3802,0.000789058390320884
"Caccuri","1",20,0,3805,0
"Caccuri","1",222,4,3802,0.00105207785376118
"Caccuri","1",26,1,3802,0.000263019463440295
"Caccuri","1",34,1,3802,0.000263019463440295
"Caccuri","1",41,1,3802,0.000263019463440295
"Caccuri","1",48,1,3802,0.000263019463440295
"Caccuri","1",7,0,3802,0
"Chaguza","1",10,0,3805,0
"Chaguza","1",105,5,3803,0.00131475151196424
"Chaguza","1",113,7,3805,0.00183968462549277
"Chaguza","1",126,7,3805,0.00183968462549277
"Chaguza","1",133,7,3805,0.00183968462549277
"Chaguza","1",140,7,3804,0.00184016824395373
"Chaguza","1",154,7,3805,0.00183968462549277
"Chaguza","1",168,7,3805,0.00183968462549277
"Chaguza","1",18,0,3804,0
"Chaguza","1",202,7,3805,0.00183968462549277
"Chaguza","1",212,7,3805,0.00183968462549277
"Chaguza","1",217,5,3802,0.00131509731720147
"Chaguza","1",231,6,3803,0.00157770181435709
"Chaguza","1",238,7,3805,0.00183968462549277
"Chaguza","1",246,5,3800,0.00131578947368421
"Chaguza","1",25,0,3798,0
"Chaguza","1",253,5,3801,0.00131544330439358
"Chaguza","1",268,7,3805,0.00183968462549277
"Chaguza","1",274,7,3805,0.00183968462549277
"Chaguza","1",281,9,3804,0.00236593059936909
"Chaguza","1",302,7,3439,0.00203547542890375
"Chaguza","1",315,9,3426,0.00262697022767075
"Chaguza","1",322,9,3428,0.00262543757292882
"Chaguza","1",367,11,3625,0.00303448275862069
"Chaguza","1",380,12,3620,0.00331491712707182
"Chaguza","1",392,13,3620,0.00359116022099448
"Chaguza","1",56,4,3802,0.00105207785376118
"Chaguza","1",70,4,3803,0.00105180120957139
"Chaguza","1",83,5,3804,0.00131440588853838
"Choi","1",110,6,3797,0.00158019489070319
"Choi","1",112,6,3797,0.00158019489070319
"Choi","1",125,7,3797,0.00184356070582038
"Choi","1",128,8,3776,0.00211864406779661
"Choi","1",134,7,3794,0.0018450184501845
