order,filename,experiment_name,long_evo_rate_f,tau_3_long,R_long,long_shedders_ratio,IH_virus_emergence_rate
1,01_generate_data_longf1_tau11_Rlong0p5_lsr0p01_OSR_fit.py,longf1_tau11_Rlong0p5_lsr0p01_OSR_fit,1,11,0.5,0.01,0.01
2,02_generate_data_longf1_tau11_Rlong0p5_lsr0p2_OSR_fit.py,longf1_tau11_Rlong0p5_lsr0p2_OSR_fit,1,11,0.5,0.2,0.01
3,03_generate_data_longf1_tau11_Rlong1_lsr0p01_OSR_fit.py,longf1_tau11_Rlong1_lsr0p01_OSR_fit,1,11,1,0.01,0.01
4,04_generate_data_longf1_tau11_Rlong1_lsr0p2_OSR_fit.py,longf1_tau11_Rlong1_lsr0p2_OSR_fit,1,11,1,0.2,0.01
5,05_generate_data_longf1_tau16_Rlong0p5_lsr0p01_OSR_fit.py,longf1_tau16_Rlong0p5_lsr0p01_OSR_fit,1,16,0.5,0.01,0.01
6,06_generate_data_longf1_tau16_Rlong0p5_lsr0p2_OSR_fit.py,longf1_tau16_Rlong0p5_lsr0p2_OSR_fit,1,16,0.5,0.2,0.01
7,07_generate_data_longf1_tau16_Rlong1_lsr0p01_OSR_fit.py,longf1_tau16_Rlong1_lsr0p01_OSR_fit,1,16,1,0.01,0.01
8,08_generate_data_longf1_tau16_Rlong1_lsr0p2_OSR_fit.py,longf1_tau16_Rlong1_lsr0p2_OSR_fit,1,16,1,0.2,0.01
9,09_generate_data_longf1_tau32_Rlong0p5_lsr0p01_OSR_fit.py,longf1_tau32_Rlong0p5_lsr0p01_OSR_fit,1,32,0.5,0.01,0.01
10,10_generate_data_longf1_tau32_Rlong0p5_lsr0p2_OSR_fit.py,longf1_tau32_Rlong0p5_lsr0p2_OSR_fit,1,32,0.5,0.2,0.01
11,11_generate_data_longf1_tau32_Rlong1_lsr0p01_OSR_fit.py,longf1_tau32_Rlong1_lsr0p01_OSR_fit,1,32,1,0.01,0.01
12,12_generate_data_longf1_tau32_Rlong1_lsr0p2_OSR_fit.py,longf1_tau32_Rlong1_lsr0p2_OSR_fit,1,32,1,0.2,0.01
13,13_generate_data_longf1_tau72_Rlong0p5_lsr0p01_OSR_fit.py,longf1_tau72_Rlong0p5_lsr0p01_OSR_fit,1,72,0.5,0.01,0.01
14,14_generate_data_longf1_tau72_Rlong0p5_lsr0p2_OSR_fit.py,longf1_tau72_Rlong0p5_lsr0p2_OSR_fit,1,72,0.5,0.2,0.01
15,15_generate_data_longf1_tau72_Rlong1_lsr0p01_OSR_fit.py,longf1_tau72_Rlong1_lsr0p01_OSR_fit,1,72,1,0.01,0.01
16,16_generate_data_longf1_tau72_Rlong1_lsr0p2_OSR_fit.py,longf1_tau72_Rlong1_lsr0p2_OSR_fit,1,72,1,0.2,0.01
17,17_generate_data_longf5_tau11_Rlong0p5_lsr0p01_OSR_fit.py,longf5_tau11_Rlong0p5_lsr0p01_OSR_fit,5,11,0.5,0.01,0.01
18,18_generate_data_longf5_tau11_Rlong0p5_lsr0p2_OSR_fit.py,longf5_tau11_Rlong0p5_lsr0p2_OSR_fit,5,11,0.5,0.2,0.01
19,19_generate_data_longf5_tau11_Rlong1_lsr0p01_OSR_fit.py,longf5_tau11_Rlong1_lsr0p01_OSR_fit,5,11,1,0.01,0.01
20,20_generate_data_longf5_tau11_Rlong1_lsr0p2_OSR_fit.py,longf5_tau11_Rlong1_lsr0p2_OSR_fit,5,11,1,0.2,0.01
21,21_generate_data_longf5_tau16_Rlong0p5_lsr0p01_OSR_fit.py,longf5_tau16_Rlong0p5_lsr0p01_OSR_fit,5,16,0.5,0.01,0.01
22,22_generate_data_longf5_tau16_Rlong0p5_lsr0p2_OSR_fit.py,longf5_tau16_Rlong0p5_lsr0p2_OSR_fit,5,16,0.5,0.2,0.01
23,23_generate_data_longf5_tau16_Rlong1_lsr0p01_OSR_fit.py,longf5_tau16_Rlong1_lsr0p01_OSR_fit,5,16,1,0.01,0.01
24,24_generate_data_longf5_tau16_Rlong1_lsr0p2_OSR_fit.py,longf5_tau16_Rlong1_lsr0p2_OSR_fit,5,16,1,0.2,0.01
25,25_generate_data_longf5_tau32_Rlong0p5_lsr0p01_OSR_fit.py,longf5_tau32_Rlong0p5_lsr0p01_OSR_fit,5,32,0.5,0.01,0.01
26,26_generate_data_longf5_tau32_Rlong0p5_lsr0p2_OSR_fit.py,longf5_tau32_Rlong0p5_lsr0p2_OSR_fit,5,32,0.5,0.2,0.01
27,27_generate_data_longf5_tau32_Rlong1_lsr0p01_OSR_fit.py,longf5_tau32_Rlong1_lsr0p01_OSR_fit,5,32,1,0.01,0.01
28,28_generate_data_longf5_tau32_Rlong1_lsr0p2_OSR_fit.py,longf5_tau32_Rlong1_lsr0p2_OSR_fit,5,32,1,0.2,0.01
29,29_generate_data_longf5_tau72_Rlong0p5_lsr0p01_OSR_fit.py,longf5_tau72_Rlong0p5_lsr0p01_OSR_fit,5,72,0.5,0.01,0.01
30,30_generate_data_longf5_tau72_Rlong0p5_lsr0p2_OSR_fit.py,longf5_tau72_Rlong0p5_lsr0p2_OSR_fit,5,72,0.5,0.2,0.01
31,31_generate_data_longf5_tau72_Rlong1_lsr0p01_OSR_fit.py,longf5_tau72_Rlong1_lsr0p01_OSR_fit,5,72,1,0.01,0.01
32,32_generate_data_longf5_tau72_Rlong1_lsr0p2_OSR_fit.py,longf5_tau72_Rlong1_lsr0p2_OSR_fit,5,72,1,0.2,0.01
