sequence_name,hamming_distance,overlap_length,hamming_per_overlap,sampling_date_str,sampling_date,days_since_ref,overlap_coverage
IDN/10761001089/2021|2021-06-08,7,2717,0.002576370997423629,2021-06-08,2021-06-08,530,0.7108843537414966
BGD/NGRI-R2-O7/2020|2020-08-11,1,3822,2.6164311878597594e-4,2020-08-11,2020-08-11,229,1
GEO/MM001352/2020|2020-04-04,1,3822,2.6164311878597594e-4,2020-04-04,2020-04-04,100,1
PAK/SARS-CoV-2_117/2020|2020-04-23,2,3822,5.232862375719519e-4,2020-04-23,2020-04-23,119,1
PAK/SARS-CoV-2_134/2020|2020-03-16,2,3822,5.232862375719519e-4,2020-03-16,2020-03-16,81,1
PAK/AKUs47/2020|2020-07-24,2,3822,5.232862375719519e-4,2020-07-24,2020-07-24,211,1
PAK/JRCGR-KHI36/2020|2020-08-10,3,3753,7.993605115907274e-4,2020-08-10,2020-08-10,228,0.9819466248037677
ITA/APU-POLBA01/2020|2020-12-19,7,3813,0.0018358248098610018,2020-12-19,2020-12-19,359,0.9976452119309263
WestBank/AAS11/2020|2020-11-05,3,3822,7.849293563579278e-4,2020-11-05,2020-11-05,315,1
BGD/GC001/2021|2021-01-31,8,3813,0.002098085496984002,2021-01-31,2021-01-31,402,0.9976452119309263
BRA/ViroUNIFESP-V521-B/2021|2021-03-31,12,3637,0.003299422601044817,2021-03-31,2021-03-31,461,0.9515960230245945
IND/GBRC1266/2021|2021-06-26,9,3816,0.0023584905660377358,2021-06-26,2021-06-26,548,0.9984301412872841
Peru/PE-LMA-UW21112340735/2021|2021-11-23,9,3816,0.0023584905660377358,2021-11-23,2021-11-23,698,0.9984301412872841
NGA/CV641/2020|2020-12-29,7,3813,0.0018358248098610018,2020-12-29,2020-12-29,369,0.9976452119309263
SWE/14_SE300_DE20-018682/2020|2020-05-02,2,3822,5.232862375719519e-4,2020-05-02,2020-05-02,128,1
MYS/M_N19563/2020|2020-11-13,3,3822,7.849293563579278e-4,2020-11-13,2020-11-13,323,1
KOR/KCDC05/2020|2020-01-30,0,3822,0,2020-01-30,2020-01-30,35,1
IDN/10761001023/2021|2021-01-12,3,3821,7.851347814708192e-4,2021-01-12,2021-01-12,383,0.999738356881214
PAK/JRCGR_SCV-53_IBGE-05/2020|2020-12-10,4,3822,0.0010465724751439038,2020-12-10,2020-12-10,350,1
CHN/SH-P176-4-North-America-Mexico/2020|2020-06-08,1,3822,2.6164311878597594e-4,2020-06-08,2020-06-08,165,1
OV486865|2021-12-13,7,3802,0.001841136244082062,2021-12-13,2021-12-13,718,0.9947671376242805
UGA/MUWRP-MUL016N/2020|2020-12-12,7,3822,0.0018315018315018315,2020-12-12,2020-12-12,352,1
Japan/SZ-NIG-Y212209/2021|2021-12-07,9,3816,0.0023584905660377358,2021-12-07,2021-12-07,712,0.9984301412872841
UGA/MUWRP-KIR200040S/2020|2020-07-31,0,3822,0,2020-07-31,2020-07-31,218,1
IND/KA-NIMH-SEQ-107/2021|2021-01-10,7,3813,0.0018358248098610018,2021-01-10,2021-01-10,381,0.9976452119309263
BRA/MS-NXBS230GENOV701211390446/2021|2021-05-13,12,3637,0.003299422601044817,2021-05-13,2021-05-13,504,0.9515960230245945
CHN/SH-P186-4-Europe-Ukraine/2020|2020-09-18,3,3822,7.849293563579278e-4,2020-09-18,2020-09-18,267,1
CHN/Qingdao_20420/2020|2020-10-11,3,3822,7.849293563579278e-4,2020-10-11,2020-10-11,290,1
CHN/S205-2223-350499/2021|2021-09-02,8,3816,0.0020964360587002098,2021-09-02,2021-09-02,616,0.9984301412872841
PHL/COVID-74873/2021|2021-07-03,9,3813,0.0023603461841070024,2021-07-03,2021-07-03,555,0.9976452119309263
CHN/SH-P196-B-4-Europe-UK/2020|2020-08-22,1,3822,2.6164311878597594e-4,2020-08-22,2020-08-22,240,1
IND/GBRC757/2021|2021-04-23,8,3816,0.0020964360587002098,2021-04-23,2021-04-23,484,0.9984301412872841
Homosampiens/CHN/5729/2020|2020-03-26,0,3822,0,2020-03-26,2020-03-26,91,1
